#Selection name: Selection 2
#Area (µm^2): 6937406.86
Cell ID,Cluster,Transcripts,Area (µm^2)
mmgcnlan-1,Cluster 5,0,9.54
mmgdamfh-1,Cluster 8,0,28.07
mmgcdebn-1,Cluster 7,0,24.06
mmgcafha-1,Cluster 2,0,17.00
mmgbahec-1,Cluster 7,0,9.17
mmgboicm-1,Cluster 5,0,5.88
mmgbilil-1,Cluster 8,0,5.48
mmgdbakc-1,Cluster 13,0,28.84
mmciaabg-1,Cluster 7,0,78.37
mmgbekhb-1,Cluster 4,0,8.70
mmgbhkec-1,Cluster 2,0,37.11
mmchnmgc-1,Cluster 12,0,6.41
mmchhfln-1,Cluster 2,0,9.51
mmcigfph-1,Cluster 5,0,36.18
mmcgpkmi-1,Cluster 6,0,26.57
mmcglohe-1,Cluster 9,0,13.45
mmfppljo-1,Cluster 7,0,6.00
mmgacjic-1,Cluster 12,0,11.24
mmfppbbe-1,Cluster 5,0,27.68
mmcghimi-1,Cluster 7,0,13.96
mmganckg-1,Cluster 2,0,46.69
mmchjiid-1,Cluster 7,0,28.63
mmdakgdl-1,Cluster 7,0,37.50
mmcpaloj-1,Cluster 2,0,23.25
mmchfnpn-1,Cluster 7,0,25.69
mmcopkan-1,Cluster 5,0,28.15
mmcpejcb-1,Cluster 10,0,21.80
mmciijga-1,Cluster 7,0,25.07
mmfphpjp-1,Cluster 13,0,31.02
mmcjjpck-1,Cluster 7,0,32.24
mmcpjhca-1,Cluster 7,0,27.51
mmgamgpa-1,Cluster 2,0,16.62
mmfaelmf-1,Cluster 14,0,7.65
mmemdbaa-1,Cluster 4,0,9.24
mmfbdiia-1,Cluster 2,0,4.39
mmelalph-1,Cluster 7,0,11.16
mmfbjaoj-1,Cluster 7,0,16.60
mmenojdd-1,Cluster 7,0,61.30
mmepmcnj-1,Cluster 7,0,17.00
mmekoikc-1,Cluster 2,0,36.43
mmelahig-1,Cluster 12,0,10.64
mmeljmjf-1,Cluster 30,0,17.01
mmelbkjm-1,Cluster 7,0,37.04
mmelgfkh-1,Cluster 7,0,22.33
mmellfjf-1,Cluster 6,0,43.04
mmelekej-1,Cluster 2,0,17.30
mmfaejfm-1,Cluster 2,0,36.63
mmfaabmo-1,Cluster 7,0,5.00
mmfbogdb-1,Cluster 12,0,7.69
mmdokjap-1,Cluster 14,0,14.94
mmfcebbg-1,Cluster 14,0,10.25
mmfbbjpm-1,Cluster 6,0,19.42
mmfbeojk-1,Cluster 21,0,5.30
mmembffc-1,Cluster 6,0,11.74
mmfbckoe-1,Cluster 6,0,34.51
mmfbofja-1,Cluster 7,0,53.59
mmelmkel-1,Cluster 7,0,16.14
mmdbiefb-1,Cluster 7,0,7.61
mmcoakpd-1,Cluster 7,0,39.96
mmekdbhp-1,Cluster 7,0,15.11
mmdajook-1,Cluster 7,0,53.43
mmconomd-1,Cluster 7,0,7.22
mmekjgfb-1,Cluster 7,0,21.08
mmcpendk-1,Cluster 6,0,13.06
mmcohdnb-1,Cluster 10,0,7.38
mmdaffdh-1,Cluster 5,0,23.34
mmdbahfm-1,Cluster 7,0,26.18
mmdaekjb-1,Cluster 7,0,14.76
mmcolmlk-1,Cluster 2,0,24.99
mmdbgkdi-1,Cluster 7,0,49.08
mmcodimb-1,Cluster 6,0,16.34
mmcofank-1,Cluster 7,0,14.79
mmckndfk-1,Cluster 2,0,57.27
mmfcaonp-1,Cluster 5,0,36.47
mmcofkme-1,Cluster 7,0,53.78
mmfagiib-1,Cluster 7,0,22.88
mmfcgini-1,Cluster 7,0,17.35
mmfcghjp-1,Cluster 7,0,30.81
mmeppmpp-1,Cluster 8,0,16.60
mmckpmaj-1,Cluster 8,0,29.87
mmcoffak-1,Cluster 8,0,20.47
mmhhlpea-1,Cluster 2,0,9.33
mmhkijej-1,Cluster 7,0,17.31
mmdmjlnj-1,Cluster 7,0,5.01
mmdldega-1,Cluster 7,0,15.83
mmdllckl-1,Cluster 7,0,44.07
mmdklfil-1,Cluster 8,0,17.39
mmdkkfhb-1,Cluster 7,0,8.70
mmdkloii-1,Cluster 10,0,14.93
mmdkipam-1,Unassigned,0,4.23
mmdieiie-1,Cluster 8,0,14.83
mmdhkpdj-1,Cluster 7,0,45.02
mmdhlkog-1,Cluster 16,0,6.37
mmdhmncp-1,Cluster 7,0,61.18
mmdhhmok-1,Cluster 7,0,15.12
mmdhokgd-1,Cluster 29,0,13.20
mmdhlfof-1,Cluster 7,0,8.00
mmhkmemh-1,Cluster 7,0,33.14
mmhjkmpk-1,Cluster 7,0,56.08
mmhkjlpi-1,Cluster 7,0,44.39
mmdldlga-1,Cluster 9,0,16.83
mmdmbmeh-1,Cluster 8,0,5.98
mmdmjcjf-1,Cluster 2,0,11.06
mmhkakkj-1,Cluster 7,0,90.25
mmdlgngo-1,Cluster 2,0,8.87
mmdlhjec-1,Cluster 7,0,23.57
mmdmgkfl-1,Cluster 5,0,12.93
mmdkpblm-1,Cluster 7,0,37.10
mmdlcffm-1,Cluster 10,0,25.87
mmhipenn-1,Cluster 30,0,11.87
mmdnihdh-1,Cluster 7,0,42.49
mmdmhdig-1,Cluster 10,0,14.48
mmdniphi-1,Cluster 9,0,39.30
mmdmmgba-1,Cluster 13,0,10.17
mmdhddpo-1,Cluster 14,0,20.80
mmdhcamf-1,Cluster 5,0,26.78
mmdhcnjn-1,Cluster 8,0,17.55
mmdjable-1,Cluster 8,0,10.34
mmdincon-1,Cluster 30,0,9.86
mmdjckmf-1,Cluster 5,0,19.85
mmdomimc-1,Cluster 2,0,25.93
mmdjfndi-1,Cluster 8,0,17.10
mmicippn-1,Cluster 2,0,10.38
mmhjcnof-1,Cluster 7,0,9.37
mmidgpjd-1,Cluster 7,0,10.36
mmiefnkp-1,Cluster 7,0,13.83
mmidhleg-1,Cluster 2,0,23.15
mmibcodj-1,Cluster 6,0,11.29
mmidajfd-1,Cluster 7,0,17.28
mmidcnmc-1,Cluster 9,0,15.10
mmiameci-1,Cluster 3,0,8.71
mmibmaco-1,Cluster 2,0,41.08
mmhjbojj-1,Cluster 7,0,23.64
mmhaldnp-1,Cluster 11,0,14.71
mmhlkoha-1,Cluster 6,0,39.04
mmhmjlkc-1,Cluster 5,0,26.13
mmhmfnnk-1,Cluster 8,0,11.27
mmhoijdo-1,Cluster 7,0,17.99
mmhmhbha-1,Cluster 30,0,5.55
mmhmfblm-1,Cluster 2,0,48.17
mmhjgmpk-1,Cluster 8,0,46.63
mmhjcjjk-1,Cluster 7,0,16.41
mmhkabce-1,Cluster 6,0,13.28
mmhmgeef-1,Cluster 9,0,31.56
mmhjknco-1,Cluster 2,0,8.97
mmhknjmc-1,Cluster 12,0,25.26
mmhmhlnl-1,Cluster 7,0,5.56
mmhnnmdo-1,Cluster 7,0,20.95
mmhnffkj-1,Cluster 14,0,29.23
mmhmcamc-1,Cluster 2,0,43.95
mmhmddck-1,Cluster 7,0,29.11
mmhoeach-1,Cluster 7,0,12.46
mmhmdpfb-1,Unassigned,0,7.41
mmhnidin-1,Cluster 16,0,13.41
mmhlfmhb-1,Unassigned,0,4.13
mmhkoapn-1,Cluster 2,0,12.71
mmhljgha-1,Cluster 7,0,6.86
mmhlfleo-1,Cluster 7,0,21.51
mmhpboac-1,Cluster 6,0,53.49
mmhglnid-1,Cluster 5,0,18.94
mmhpkadn-1,Cluster 2,0,12.00
mmiaeogh-1,Cluster 7,0,25.53
mmhhlgec-1,Cluster 2,0,34.23
mmhpdbep-1,Cluster 2,0,40.99
mmiacgkl-1,Cluster 2,0,8.42
mmidadfm-1,Cluster 12,0,8.11
mmibpkjn-1,Cluster 7,0,27.92
mmidpnhe-1,Cluster 2,0,13.64
mmhinceb-1,Cluster 5,0,52.90
mmicmalm-1,Cluster 2,0,18.03
mmiddmph-1,Cluster 6,0,13.00
mmhogpbm-1,Cluster 11,0,30.06
mmhgncpd-1,Cluster 4,0,10.27
mmiaekch-1,Cluster 8,0,30.31
mmhllneh-1,Cluster 8,0,7.24
mmhogpna-1,Cluster 12,0,28.79
mmhoidoa-1,Cluster 6,0,10.70
mmhhibjk-1,Cluster 8,0,13.26
mmhhldci-1,Cluster 13,0,34.22
mmhglcgk-1,Cluster 2,0,40.33
mmhofhoa-1,Cluster 21,0,6.40
mmiahjek-1,Cluster 7,0,21.28
mmeecbod-1,Cluster 2,0,48.83
mmeaakfm-1,Cluster 2,0,11.42
mmecejbg-1,Cluster 9,0,19.83
mmeblnnm-1,Cluster 8,0,10.74
mmececjj-1,Cluster 5,0,12.22
mmdnpgen-1,Cluster 32,0,5.51
mmdnoemm-1,Cluster 7,0,14.02
mmdnmcpi-1,Cluster 8,0,28.30
mmdpdmnm-1,Cluster 2,0,31.97
mmdpndbp-1,Cluster 2,0,30.41
mmdpmool-1,Cluster 2,0,13.74
mmdopgac-1,Cluster 23,0,14.85
mmdplljb-1,Cluster 7,0,28.62
mmdofhca-1,Cluster 7,0,7.71
mmdndihc-1,Cluster 7,0,14.94
mmeaelgc-1,Cluster 2,0,3.66
mmeadpdp-1,Cluster 2,0,23.81
mmeagapm-1,Cluster 2,0,48.42
mmebjphe-1,Cluster 2,0,22.77
mmeancbp-1,Cluster 2,0,5.77
mmeajeah-1,Unassigned,0,4.79
mmecbecl-1,Cluster 8,0,7.03
mmdnfkkl-1,Cluster 22,0,12.68
